Client_Number,Balance_1st_Mo,Balance_2d_Mo,Expenses_1st_Mo,Expenses_2d_Mo,Deposit_Credit_1st_Mo,Deposit_Credit_2d_Month,Two_Mo_Expenses_Select_Categories,Two_Mo_Income,Two_Mo_DTI_Ratio,Limit_Requested,Free_Cash_Flow,Limit_Free_Cash_Ratio,Credit_Approval
1,8580,52750,14620,18050,23200,70800,32670,94000,0.3,12300,30665,2.49,1
2,1070,8180,4960,13260,6030,21440,18220,27470,0.7,33800,4625,0.14,0
3,11100,61870,26580,5060,37680,66930,31640,104610,0.3,42200,36485,0.86,0
4,61720,8000,8370,6050,70090,14050,14420,84140,0.2,9500,34860,3.67,1
5,36150,39730,3580,35850,39730,75580,39430,115310,0.3,39400,37940,0.96,0
6,47460,11350,14570,13340,62030,24690,27910,86720,0.3,15300,29405,1.92,1
7,37250,24910,13920,14200,51170,39110,28120,90280,0.3,35100,31080,0.89,0
8,120,34180,16100,970,16220,35150,17070,51370,0.3,14700,17150,1.17,1
9,2310,4600,3080,43570,5390,48170,46650,53560,0.9,20700,3455,0.17,0
10,1350,24220,860,6290,2210,30510,7150,32720,0.2,700,12785,18.26,1
11,1710,22420,4700,31110,6410,53530,35810,59940,0.6,48600,12065,0.25,0
12,920,4240,760,54030,1680,58270,54790,59950,0.9,47400,2580,0.05,0
13,47300,22960,23220,10730,70520,33690,33950,104210,0.3,35800,35130,0.98,0
14,2440,12870,41190,61520,43630,74390,102710,118020,0.9,45100,7655,0.17,0
15,67420,33930,9430,41210,76850,75140,50640,151990,0.3,39900,50675,1.27,1
16,7070,8040,13460,55580,20530,63620,69040,84150,0.8,18500,7555,0.41,0
17,7600,12810,31190,23600,38790,36410,54790,75200,0.7,4000,10205,2.55,1
18,12680,23100,59480,1270,72160,24370,60750,96530,0.6,43100,17890,0.42,0
19,52130,11900,20390,63360,72520,75260,83750,147780,0.6,23500,32015,1.36,1
20,11620,17670,27630,41970,39250,59640,69600,98890,0.7,46500,14645,0.31,0
21,18550,15620,2480,13620,21030,29240,16100,50270,0.3,35300,17085,0.48,0
22,23030,15670,30150,58230,53180,73900,88380,127080,0.7,40500,19350,0.48,0
23,5570,7950,43180,65340,48750,73290,108520,122040,0.9,33100,6760,0.2,0
24,390,1150,2440,4820,2830,5970,7260,8800,0.8,16500,770,0.05,0
25,5330,25990,15890,8150,21220,34140,24040,55360,0.4,9300,15660,1.68,1
26,5640,44370,2570,21460,8210,65830,24030,74040,0.3,27700,25005,0.9,0
27,20900,7170,28240,13740,49140,20910,41980,70050,0.6,41900,14035,0.33,0
28,17880,8190,1270,15070,19150,23260,16340,42410,0.4,34700,13035,0.38,0
29,19400,7070,3400,2130,22800,9200,5530,32000,0.2,44800,13235,0.3,0
30,47460,21000,12560,36940,60020,57940,49500,117960,0.4,28300,34230,1.21,1
31,15310,39220,8360,5000,23670,44220,13360,67890,0.2,49100,27265,0.56,0
32,61570,5070,14100,27230,75670,32300,41330,107970,0.4,18800,33320,1.77,1
33,14410,8070,46800,24510,61210,32580,71310,93790,0.8,18300,11240,0.61,0
34,63470,11190,13760,11950,77230,23140,25710,100370,0.3,38700,37330,0.96,0
35,880,4150,5530,5190,6410,9340,10720,15750,0.7,28800,2515,0.09,0
36,11600,12970,750,39120,12350,52090,39870,64440,0.6,49200,12285,0.25,0
37,20120,46370,23560,9610,43680,55980,33170,99660,0.3,44000,33245,0.76,0
38,900,2200,19450,10150,20350,12350,29600,32700,0.9,15600,1550,0.1,0
39,1470,15500,25620,46440,27090,61940,72060,89030,0.8,23900,8485,0.36,0
40,27930,26280,830,53250,28760,79530,54080,108290,0.5,33300,27105,0.81,0
41,32820,56050,39050,11610,71870,67660,50660,139530,0.4,32000,44435,1.39,1
42,55740,20680,1350,34070,57090,54750,35420,111840,0.3,45300,38210,0.84,0
43,28570,69570,39200,3490,67770,73060,42690,140830,0.3,19300,49070,2.54,1
44,10560,15210,11070,23270,21630,38480,34340,60110,0.6,5800,12885,2.22,1
45,30830,32580,4430,4060,35260,36640,8490,71900,0.1,2500,31705,12.68,1
46,34670,55160,27310,11430,61980,66590,38740,128570,0.3,10100,44915,4.45,1
47,12410,32620,15220,8800,27630,41420,24020,69050,0.3,5800,22515,3.88,1
48,7660,16700,62090,22290,69750,38990,84380,108740,0.8,9200,12180,1.32,1
49,3180,45640,71710,14610,74890,60250,86320,135140,0.6,40700,24410,0.6,0
